누적 ap : 0.5, ap : 0.5
누적 ap : 62.58116432178932, ap : 1.0
누적 ap : 63.38116432178932, ap : 0.8
누적 ap : 64.21449765512266, ap : 0.8333333333333334
누적 ap : 65.21449765512266, ap : 1.0
누적 ap : 66.21449765512266, ap : 1.0
누적 ap : 66.46449765512266, ap : 0.25
누적 ap : 67.46449765512266, ap : 1.0
누적 ap : 68.46449765512266, ap : 1.0
누적 ap : 69.09941829004329, ap : 0.6349206349206349
누적 ap : 69.76608495670996, ap : 0.6666666666666666
누적 ap : 70.51608495670996, ap : 0.75
누적 ap : 70.76608495670996, ap : 0.25
누적 ap : 71.43275162337663, ap : 0.6666666666666666
누적 ap : 72.43275162337663, ap : 1.0
누적 ap : 73.03275162337663, ap : 0.6
누적 ap : 73.63275162337662, ap : 0.6
누적 ap : 74.13275162337662, ap : 0.5
누적 ap : 74.64703733766234, ap : 0.5142857142857142
누적 ap : 75.48037067099567, ap : 0.8333333333333333
누적 ap : 76.313704004329, ap : 0.8333333333333334
누적 ap : 76.57072154818864, ap : 0.2570175438596491
누적 ap : 76.57072154818864, ap : 0.0
누적 ap : 76.57072154818864, ap : 0.0
누적 ap : 76.71357869104578, ap : 0.14285714285714285
누적 ap : 76.91357869104579, ap : 0.2
누적 ap : 76.91357869104579, ap : 0
누적 ap : 77.05643583390292, ap : 0.14285714285714285
누적 ap : 77.55643583390292, ap : 0.5
누적 ap : 77.55643583390292, ap : 0.0
누적 ap : 78.05643583390292, ap : 0.5
누적 ap : 78.61199138945848, ap : 0.5555555555555556
누적 ap : 78.95290048036757, ap : 0.34090909090909094
누적 ap : 79.20290048036757, ap : 0.25
누적 ap : 79.86956714703425, ap : 0.6666666666666666
누적 ap : 80.53623381370092, ap : 0.6666666666666666
누적 ap : 81.36956714703425, ap : 0.8333333333333334
누적 ap : 81.61956714703425, ap : 0.25
누적 ap : 81.95290048036757, ap : 0.3333333333333333
누적 ap : 82.20290048036757, ap : 0.25
누적 ap : 83.0362338137009, ap : 0.8333333333333334
누적 ap : 83.36956714703423, ap : 0.3333333333333333
누적 ap : 84.0362338137009, ap : 0.6666666666666666
누적 ap : 85.0362338137009, ap : 1.0
누적 ap : 85.7862338137009, ap : 0.7499999999999999
